,index,text,label,multi_label,split,language,length,source
10,290,"The Azores Scouting Bloc asked the regional government about compliance with the Animal Welfare Act. In a communiqué, the party emphasized the importance of monitoring and enforcement to ensure the welfare of animals on the islands. According to the note released by the E.U., there are several reports of animal abuse in the Azores that are not properly investigated and punished. Furthermore, the party pointed to the lack of structure and resources for animal protection as a problem facing the government. The E.U. asked the Azores government to provide information on the number of complaints received and the actions taken to combat animal crime. The party also questioned what measures would be taken to improve tax collection and enforcement. Animal protection has been an important issue in aquatic society, with various animal protection groups operating on the islands. However, much remains to be done to ensure that animal rights are respected.",1,gpt-3.5-turbo,test,pt,169,MULTITuDE_MassiveSumm_acorianooriental
11,371,"This Sunday's evening show offers a diverse array of themes for viewers. From local news to entertainment and culture, coding promises to please everyone. The highlight is the exclusive interview with the mayor of the city, who will address the main issues of the city. In addition, a special report will show the groundwork for the production of a theatre show that is well-known in the region.",1,gpt-3.5-turbo,test,pt,67,MULTITuDE_MassiveSumm_voaportugues
12,376,"""Because I want to participate in the discussions and negotiations that will be fundamental to the future of TAP in an absolutely calm and unbiased manner and without any associated mediation that could harm our flag company, I hereby give notice that I have waived these terms and conditions effective October 28,"" reads a communiqué sent to the media, signed by Miguel Frasquilho. On the same note, the incumbent notes that the same terms and conditions of remuneration of his predecessor, Humberto Pedrosa, who resigned as a trustee of the TAP Group, have passed to him, ""by virtue of the increased powers and responsibilities"" that he has assumed.",0,human,test,pt,98,MassiveSumm_acorianooriental
13,401,"Ana, a 26-year-old Brazilian girl, found Pilates the way to overcome an intense family trauma in the city of Durban, South Africa. Five years ago, she witnessed the tragic loss of her brother in a car accident in a South African city. The situation deeply affected the family, and since then, Ana has lived in a constant struggle with pain and depression, and that's when she decided to seek out Pilates as a way to overcome her emotional and physical limitations. Ana started practicing physical activity in search of muscle strength and conditioning. But over time, she noticed that the practice was giving her an increased ability to deal with life's challenges and traumas. Intrigued by the results, the young woman decided to deepen her specialization in Pilates and became an instructor. She devoted herself intensely to studies and practice, and over the course of her career, she realized that helping other people was also a way to overcome her own pain.",1,gpt-4,test,pt,197,MULTITuDE_MassiveSumm_rfi
14,419,"That's when the war started. It wasn't the liberation, it was the beginning of the civil war. It can be seen as a date of struggle and not a date of joy. We should remember those who died in the conflict, no matter which side they were on. But to commemorate, yes, not officially, it shouldn't be a state. It has to be a private celebration with friends and family.",1,llama-65b,test,pt,70,MULTITuDE_MassiveSumm_voaportugues
15,446,"The founder of France's National Front party, Jean-Marie Le Pen, filed a legal appeal on Tuesday to contest his suspension of the party in 2015. The suspension decision came after a series of controversial comments by Le Pen, which were criticized by party members, including his own daughter, Marine Le Pen, the current leader of the National Front. The appeals court in Versalhes, on the outskirts of Paris, will hear the appeal presented by Jean-Marie Le Pen. The 92-year-old politician, known for his extremist and xenophobic stances, was expelled from the National Front after an extraordinary congress, in which members voted to suspend him indefinitely. The comments that led to Le Pen's suspension included describing the gas chambers used in the Holocaust as ""a detail of history"" and a series of criticisms of party members who, in his view, were ""trading"" the principles of French nationalism. Those statements caused a great deal of controversy.",1,gpt-4,test,pt,246,MULTITuDE_MassiveSumm_rfi
16,487,Marcelo met Peña Nieto today at a time that he considered very promising. The Mexican President arrived in Belém for an hour-long visit to the Governor of Pará to address border security issues and violence that has hit cities near the Brazilian border. Peña Nieto praised Marcelo's proposal for police reform in the state and said she hoped that today's visit would contribute to joint development and improved cooperation between countries.,1,alpaca-lora-30b,test,pt,85,MULTITuDE_MassiveSumm_acorianooriental
17,519,"France continues to face an increase in the number of expulsions of illegal immigrants, as the authorities step up their efforts to stem the country's growing migration crisis. The French Interior Ministry recently released data showing a five percent increase in the number of deportations compared to last year, bringing the total to over 15,000 deportations by 2021. According to the French authorities, the majority of illegal immigrants come from African countries, the Middle East and South Asia, seeking asylum and better living conditions in Europe. However, the authorities argue that many of these migrants do not have the right to asylum and are abusing the system to enter and stay in the country. The current French government's policy of expulsion has been criticized by human rights organizations and migrant support groups, who say the approach is excessively aggressive and disregards the basic rights of migrants. They're arguing that",1,gpt-4,test,pt,249,MULTITuDE_MassiveSumm_rfi
18,521,"Africa 24In 2007, when Ethiopia was in the process of writing its present constitution, I interviewed the constitution commission's senior gender advisor Zenebe Bashaw Uraguchi on the constitution's clauses guaranteeing gender equality and preventing discrimination based on gender, sex, religion or ethnicity. She told me the idea was to build a """" united nation of different nations, """" and added, """" this constitution will also take into account our culture and value system, which respects the rights of men and women. """" Ethiopia's constitution is a modern document that reflects both local and international rights norms.",1,llama-65b,test,pt,92,MULTITuDE_MassiveSumm_voaportugues
19,554,"A technical malfunction resulted in the disaster of an Antonov passenger plane in Malanje, Angola. The incident happened at 8 a.m. this Friday morning, and the plane landed in a crowded area. The aircraft carried 11 passengers and four crew. Unfortunately, all the passengers and crew were injured. The airline authorities are investigating the exact circumstances that led to the technical crash and the crash of the aircraft. Local authorities describe the incident as an unfortunate tragedy. The injured were immediately transported to the nearest hospital for emergency treatment.",1,text-davinci-003,test,pt,89,MULTITuDE_MassiveSumm_voaportugues
20,567,"In an impactful speech this week, Vitorino Silva, a well-known politician and activist, said democracy needs to be vaccinated. The leader expressed concern about the current state of national politics and believes that democracy is in danger in the face of the growing populist movement and cases of corruption in the country. The analogy of vaccination emerged as a potential solution to strengthen democracy, protecting it from the harmful elements that threaten its stability. Silva believes that immediate action is needed to ensure the health of the democratic system and restore people's faith in politics. The activist emphasized the need for greater transparency in the political process and a more equitable distribution of resources and opportunities for all citizens. He urged the authorities to work together to eradicate the corruption and social inequality that affect the nation. Vitorino Silva emphasized that vaccinating for democracy involves educating the population about their rights and rejecting all forms of discrimination.",1,gpt-4,test,pt,283,MULTITuDE_MassiveSumm_acorianooriental
21,569,"Two apples and three servings of carrots every day. According to research released on Saturday at an event in the United States, this is an excellent recipe for reducing your chances of dying of a heart attack or stroke. The study, presented at a conference organized by the American Nutrition Society and conducted in Baltimore, cross-referenced global fruit and vegetable consumption data with deaths reported from cardiovascular disease over the course of 2010. The main finding was that one in seven deaths of this type can be attributed to the fact that a person hasn't eaten enough fruit. And one in 12 deaths also from cardiovascular disease would be due to a lack of sufficient vegetables and vegetables. In total, in 2010 alone, there were 1.8 million deaths that could be avoided worldwide with better fruit nutrition. And one million deaths have been attributed to low fruit consumption. Overall, low fruit consumption results in almost 1.3 million deaths from stroke and more.",0,human,test,pt,187,MassiveSumm_bbc
22,631,""""" Journal of Angola, Luanda, February 17, 2012 (accessed February 17, 2012)5.  (pt) """" Uighur Governor Promises Statistics Employees, April 1st Census Workers, Will Be Paid, """" Journal of Angola, Luanda, July 3, 2012 (accessed July 3, 2012)6.  """" Uíge: Governor signs agreement with company to build market, """" Angola Press, 9 février 2015 (accessed 11 March 2015)* Angola portal* Politics portal",1,llama-65b,test,pt,75,MULTITuDE_MassiveSumm_voaportugues
23,644,"French media reacted with surprise and outrage after the decision of the Brazilian judiciary to expel the Italian Cesare Battisti from the border between Brazil and Bolivia. The news comes after an order by the Brazilian Public Prosecutor's Office to seize Battisti, sentenced to life imprisonment in his country of origin after fleeing in 1981. The French media say the decision is a ""gross violation of human rights."" The Brazilian Minister of Justice, Sérgio Moro, said that the decision ""is a measure of the Public Prosecutor's Office to ensure the enforcement of the sentence, since there is no indication that other countries are interested in collaborating with the enforcement of the sentence in Brazil."" The decision is yet another episode in the criminal's tragic story. Battisti arrived in Brazil with a tourist visa in December 2018. The jail date was January 10, 2021. The Brazilian, who has been living underground for the last few years, has become a celebrated cause of the French anti-fascist movement.",1,alpaca-lora-30b,test,pt,165,MULTITuDE_MassiveSumm_rfi
24,646,"On March 4th, at 7:10 p.m., Greenwich Mean Time, the second part of a special program was aired that dealt with topics that were relevant to the global and national scene.",1,gpt-4,test,pt,29,MULTITuDE_MassiveSumm_rfi
25,648,"Scientists at the University of Bergen have discovered that salt and ice from the formation of stalagmites may have formed a way for life to flourish on Earth, from formations in Antarctic seas. What they found were the strangest features in the formation of ice and salt stalagmite in the middle of frozen water. Scientists believe that ice and salt structures may be the way organic life is associated with sea ice. """" This may be an important link between organic life and ice, in which organic life can form and survive from water ice in the middle of the sea, """" said Hans Povl Abrahamsen of the University of Bergen. The structures that scientists have discovered consist of tiny salt particles called halites, in the form of stalagmite fish fins, that are very similar to the structures that are formed inside Earth's ice formations. They were found in a region of the Antarctic Sea. According to the researchers, the ability to",1,alpaca-lora-30b,test,pt,215,MULTITuDE_MassiveSumm_acorianooriental
26,649,"Porto de Arouca: ""The pain will not be unexpected,"" writes the person about the immediate immunization against the flu in Portugal.",1,opt-iml-max-1.3b,test,pt,19,MULTITuDE_MassiveSumm_rfi
27,651,"November 17, 2017* Russia, Iran, Syria and Turkey form a quartet of assurances to establish a """" descent zone """" in Syria November 22, 2017* Russian-Iranian relations """" very good """" and both countries agree that Syria should remain united, says Putin November 22, 2017* Putin signs resolution to marry Russian ambassador to Romania November 22, 2017* Syria: Quartet of security partners creates descent zone in the country November 23, 2017* Leaders of the security quartet in Syria sign plans for ceasefire in that country November 23, 2017* Iraq declares defeat of the Islamic State December 9, 2017* Russian airstrikes kill 12,000 terrorists in Syria and Libya December 12, 2017* Geneva Court does not allow Brazil to request ex-minister Antonio Palocci's extradition December 13, 2017* Brazil will not be able to extradite ex-minister Antonio Palocci, says Geneva Court December",1,llama-65b,test,pt,213,MULTITuDE_MassiveSumm_rfi
28,653,"A new popular song has just been released in mockery of Alves Kamulingue and Isaías Cassule, two Angolan activists who were kidnapped and murdered in 2012. The music theme, which has already gone viral on social media, is intended to pay tribute to the two national heroes and to remember the struggle for justice and human rights in Angola. The song, called ""Cassule e Kamulingue — Heroes of the Povo,"" is performed by a group of Angolan musicians and features various local artists. The lyrics emphasize the bravery and dedication of the two activists to the cause of human rights in Angola, as well as their tragic fate and struggle for justice. The deaths of Cassule and Kamulingue were the result of a protest organized by both of them, where they demanded better living conditions for ex-militaries and their families. During the preparations for the protest, both of them were kidnapped and killed, which caused a great deal of outrage among the Angolan population and led to a movement for justice and truth. The house.",1,gpt-4,test,pt,232,MULTITuDE_MassiveSumm_voaportugues
29,706,"The Portuguese Communist Party (PCP) in the Azores issued a communiqué expressing concern about the future of the Sinaga factory, located on the island of São Miguel. The CFP thought that going bankrupt would be an economic and social crime, given the importance of the company to the local economy. Sinaga, which produces fertilizer, currently employs about 120 workers and is responsible for four percent of the region's GDP. However, the company has faced financial difficulties, having recently been placed under judicial administration. The PCP called on the Azores Regional Government to intervene and protect the Sinaga, ensuring the maintenance of the jobs and the continuity of production in the factory. The party also suggested the creation of a restructuring plan for the company that would overcome the current difficulties and ensure a sustainable future for Sinaga. The CPP communiqué was released as part of a series of party initiatives to raise public awareness of the importance of",1,gpt-3.5-turbo,test,pt,196,MULTITuDE_MassiveSumm_acorianooriental
30,733,"Gary Hunt won first place in the world cliff diving championship in Inis Mór, Ireland, with a final score of 560.90 points. In a remarkable performance, English surpassed its opponents and assumed leadership in a very expressive way, reinforcing its potential. South Korean swimmer Woo Hwang won the talks medal with 523.80 points. The third place went to Alessandro De Rose of Italy, who scored 489.60 points. One point worth highlighting is the fact that, after his victory, Hunt is now able to cement his leadership in the world championship. In addition, the highlight of the victory happened in that magical spot, the highest point on the island, at 27 meters. In that respect, De Rose can also be pleased with his third placement, as it's his first podium of the season. Watch the video and see how Hunt won in Inis Mor and cemented his leadership.",1,alpaca-lora-30b,test,pt,156,MULTITuDE_MassiveSumm_acorianooriental
31,734,"The right to freedom of expression, a product of the Illuminati in the 17th and 18th centuries, has been appropriated by the far right to propagate ideas that have often found their way into law. In the name of what is one of the fundamental principles of the Universal Declaration of Human Rights, do politicians and activists have the right to question historical facts, to praise shortcuts and to disseminate theories, often deceptive theories, about events about which the courts have already had the last word? After all, are there limits to freedom of speech? The eternal discussion regularly returns to Europe, as when French far-right leader Jean Marie Le Pen questioned the existence of gas chambers in World War II, or after the comedian Dieudonné offered his solidarity to a terrorist who attacked a Jewish market in Paris in 2015. In Brazil, the issue has come to the fore in recent weeks, with President Jair Bolsonaro and his allies attempting to revise the history of the dictatorship and elevate the performance of the military. Or when? ",0,human,test,pt,203,MassiveSumm_rfi
32,784,"The Health Administration issued a statement to the Board of Nurses, saying it's not possible to partially suspend the registration of nurses. The Board of Nurses had requested that a temporary suspension of registration be allowed, for a certain period of time, so that nurses could work in other areas outside of health. However, according to the Health Authority, the law governing the profession of nurse does not provide for that possibility. The measure, according to the Health Authority, is aimed at ensuring the safety and quality of health services provided to the population. The Order of Nurses has not yet come forward on the Health Administration's announcement.",1,gpt-3.5-turbo,test,pt,113,MULTITuDE_MassiveSumm_acorianooriental
33,789,""""" Following this year's rise for the Science Implications Agency (IACC), the person will die every three seconds a year by the age of 100, by the age of 70, by 15 people a year by the age of five. It's a reduction in mortality rates that you take into account. According to the IACC's 2014 ranking, the most sophisticated mortality rate, the tree insecurity rate, was the last one to be sought for not leaving the house. According to the 2014 rise to 2016, the deaths per day should be in line with the number of homicides. According to the IACC's 2010 rise, a state surveillance policy is the cause of death in terms of mortality within the scope of insurance and video within the scope of medicine. ""Today we know better about the rates that have risen in the insurance scope in terms of the mortality of the insurance scope,"" says the economist Rui Costa. The most sophisticated mortality rate, the tree insecurity rate, was the last one that was sought for not leaving the house. All right. ",1,opt-iml-max-1.3b,test,pt,220,MULTITuDE_MassiveSumm_bbc
34,795,"Turkey fears hundreds of thousands of refugees, closes borders with Syria Turkey has closed its borders with Syria after concerns arose about hundreds of thousands of refugees entering the country, according to government sources.",1,vicuna-13b,test,pt,40,MULTITuDE_MassiveSumm_bbc
35,799,""""" No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no Globo. Retrieved March 22, 2021.192.  ""Tarso Genro says that Bolsonaro 'will never have the basis' to win an election."" The Globe. April 6, 2019. Accessed March 22, 2021.193.  ""Tarso Genro Says Bolsonaro 'Never Has a Basis' to Win Election."" Globo. April 6, 2019. Accessed March 22, 2021.194.  ""Tarso Genro announces exit from politics after second-round defeat in SP."" Globo. October 29, 2018. Accessed March 22, 2021.195.  ""Tarso Genro says he'll quit politics after losing the second round in the SP."" Globo. October 28, 2018. Accessed March 22, 2021.196.  ""Tarso Genro announces exit from politics after second-round defeat at SP."" Globo. October 29, 2018. Accessed March 22, 2021.197.  ""Rome is not going to run in 2020."" Folha de S.Paulo. September 3, 2019. He looked at it and said, ""Wow, that's great.",1,llama-65b,test,pt,208,MULTITuDE_MassiveSumm_bbc
36,817,"They can offer retirement advice to senior patent officers. This method is commonly known as purging. While the retention of a police department may play a significant role in making decisions about the department as a whole, sub-groups rarely exercise formal control over the higher-ranking patent officers. To measure the impact of this, several police departments have recently had difficulty promoting lower-ranking patent officers, once that would result in a significant increase in the number of officers who receive a salary similar to that of a chief. Many police departments have a separate classification system for administrative positions. In Chicago, the Chicago Police Department is an example, the first administrative position title is Chief Information Officer, which is classified as a command-level position. There are 44 positions in that class, all of which belong to the chief of police.",1,llama-65b,test,pt,235,MULTITuDE_MassiveSumm_acorianooriental
37,854,"Posted on: 03/08/2011 - 10:50 This International Women's Day, the press is focusing on the current position of women in various ways. Despite the progress, there's still a long battle ahead. The economic daily Les Echos publishes a double-page story about the success of eight women in different fields, who are at the pinnacle of their careers. Chefs, investment managers, lawyers, scientists, business leaders, economists and hotel and television managers all tell their stories and explain their vision of winning in the world of work. Some tips: they're convinced that giving women every opportunity to showcase their talent is not only a matter of equality, but it's also an economic necessity. With two exceptions, they all participate in women's associations, considering it a way of discussing and exchanging innovative ideas. Le Figaro, on the right, analyzes that few women hold managerial positions in the French public service, and that a member of parliament",0,human,test,pt,190,MassiveSumm_rfi
38,869,"Salt Lake City, Iran — The defeated Iranian presidential candidate, Hasan Rowhani, announced today that he will appear publicly next February 15th. The former Iranian president, who was defeated in the 2017 plebiscite by Rowhani, made it clear that this appearance is a """" path to the future. """" To go into a lot of detail, Rowhani said that his public appearance is a response to the """" injustice and inequality """" that he believed had been carried out during his presidency. The former president has also called for the public to remain calm during his appearance, saying that he intends to """" take responsibility wherever she is. """" Rowhani's public appearance is a much-anticipated event by the political community and opposition groups in Ireland. Many ask what the former president will reveal and whether his claims will be proven. The Iranian government, for its part, has already declared that any political activity by Rowhani will be deemed illegal.",1,vicuna-13b,test,pt,186,MULTITuDE_MassiveSumm_bbc
39,871,"Portugal faces Serbia in Belgrade in crucial match for 2022 FIFA World Cup qualificationBelgrade, Serbia — The Portuguese football team is today in the Serbian capital, Belgrade, for a crucial match against Serbia for the 2022 FIFA World Cup qualification, which will be played in Qatar. The match will take place this Saturday at Rajko Mitić Stadium, and it promises to be an exciting and high-quality technical match. The squad, led by technician Fernando Santos and captained by star Cristiano Ronaldo, arrives in the Serb capital confident after a series of good friendly results and the final qualifying matches. However, Serbia promises to be an opponent at the time, led by veteran technician Dragan Stojković and big names like Sergej Milinković-Savić and Aleksandar Mitrović, who have broken into the European scene. The game is crucial to the aspirations of both the selections, because the leadership of the group is at stake. Today, Portugal and Serbia are on the dotted line.",1,gpt-4,test,pt,260,MULTITuDE_MassiveSumm_acorianooriental
40,947,"Zimbabwe has indicated that the second round of presidential elections between President Robert Mugabe and Morgan Tsvangirai will be held on June 27. The opposition leader has reiterated that he will contest the second round, although he continues to claim that the date is illegal. The election commission in Zimbabwe has announced that voters will go to the polls in six weeks to choose the president of the republic. President Robert Mugabe will have to face opposition leader Morgan Tsvangirai after finishing second with 43 percent of the votes against Tsvangirai with 47 percent. The opposition claims that Tsvangirai got more than 50 percent of the votes in the first round and should therefore be declared the winner. The official results of the presidential vote were delayed for five weeks, with the election commission extending the date of the second round to nineteen days — that is, more than two months later than the 21 days previously required. Tsvangirai, who has been out of Zimbabwe, told the jury",0,human,test,pt,207,MassiveSumm_voaportugues
41,948,"Lula, gold and books in the spotlight in the year he finds 31 Dec 2010 — Cape Verde has seen the political year marked by constitutional review, but unfortunate events could rival the impact of the visit of Brazil's President, Lula da Silva. Between pride in completing Millennium Development Goals projects, and entrepreneurship in investing in renewable energy, 2010 was a year of recognition for Cape Verdean literature, and it was also a year of honor for women's track and field. Listen here, on Voice of America, to the sonic portrait of 2010 in Eugénio Teixeira's report.",0,human,test,pt,90,MassiveSumm_voaportugues
42,966,"The Angolan embassy in Italy and the Italian government held constructive talks this week, which included trade and direct investment relations between the two nations.",1,text-davinci-003,test,pt,26,MULTITuDE_MassiveSumm_voaportugues
43,970,"In response to the news of the plan presented by a manager of Sinaga, who admits the closure of the factory because of alleged economic instability, the leaders of the Communist Party insist, in a communiqué, that sugar production in the Azores """" is viable. """" """" Sinaga is a viable and future-oriented company that promotes regional agricultural diversification, """" the communiqué goes on, underlining that, with the investment in a new factory, the company """" will make profits that will benefit the regional economy. """" For the CPC/Azores, that investment depends solely on the regional government, the majority shareholder of the company, which the communists accuse of being preparing for the closure of the only factory of its kind in the region. """" Sinaga is on the brink of collapse because of the inertia and",0,human,test,pt,148,MassiveSumm_acorianooriental
44,985,"On the morning of Friday, the prognosis was that the council that administers the Church's heritage in the world could raise 15 million euros in 24 hours. These efforts included cultural artifact leaflets or corporate donations. The profits from the previous donations are hidden, as if there had been no donation, but two years ago it was nothing more than a 3.4 million-euro penny. The general director of the Gaulish Finance, Christian Girot, said that they were collecting the value of the donations and that it was going to be ""a million euros, no more."" That leaves the negative accounts. So far, efforts have been focused on collecting disclosures to see if the government wants to present the deposits or the loans as the annual budget accounts. That's not what believers prefer. That's what political scientist Bruno Macaes explains. """" When we have an event like this, which is absolutely extraordinary, and it doesn't do what it should do, it makes very little sense to go into the field of logic, of counterintuitiveness.",1,opt-66b,test,pt,191,MULTITuDE_MassiveSumm_rfi
45,1069,"The trial against those responsible for the death of Saudi journalist Jamal Khashoggi in Turkey began on Tuesday. The trial is being held in the Turkish city of Istanbul and will try two former judges of Saudi Crown Prince Mohammed bin Salman, as well as 18 other defendants charged with involvement in the murder. The defendants face charges of planning, organizing and carrying out the October 2, 2018 assassination of a journalist at the Saudi consulate in Istanbul. The session was opened by the judge presiding over the jury, Mehmet Akkas, who read the charge of premeditated murder against the kings. Three defendants, who were absent, were sentenced to life imprisonment. According to the Turkish authorities, Jamal Khashoggi was killed at the Saudi consulate by members of an assassination team who came to the site with the intent of assassinating the journalist. Khashoggi was the editor of an opposition newspaper in the United States and a harsh critic of the Saudi government.",1,text-davinci-003,test,pt,188,MULTITuDE_MassiveSumm_rfi
46,1079,"Turkey blocked its entry into Syria because of the fear of """" hundreds of thousands """" of refugees that might reach its borders. The move came after the Turkish offensive in Syria, aimed at fighting Kurdish militants, caused many civilians to flee the country in search of security. The Turkish Interior Minister, Süleyman Soylu, said that Turkey would not allow refugees to cross the border, and furthermore, all those who had already arrived in the country would be sent back to Syria. Refugee camps in Turkey already host about 3.6 million Syrians, making it the country with the largest number of Syrian refugees in the world. Turkish President Recep Tayyip Erdogan is under pressure from the opposition and European leaders to deal with the refugee crisis and prevent Syrians from entering Europe. On that score, the Turkish offensive in Syria continues, with reports that at least 100 civilians have been killed and thousands displaced from their homes since the operation began.",1,gpt-3.5-turbo,test,pt,198,MULTITuDE_MassiveSumm_bbc
